Reference, Value, Footprint, Datasheet
"C1","47µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"J1","SLOT1","Connector_IDC:IDC-Header_2x17_P2.54mm_Horizontal","~"
"D1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"J2","E/S","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","~"
"U4","74LS374","Package_DIP:DIP-20_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS374"
"U5","74LS244","Package_DIP:DIP-20_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf"
"U6","ULN2803A","Package_DIP:DIP-18_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/uln2803a.pdf"
"D2","Q0","LED_SMD:LED_0805_2012Metric","~"
"D3","Q1","LED_SMD:LED_0805_2012Metric","~"
"D4","Q2","LED_SMD:LED_0805_2012Metric","~"
"D5","Q3","LED_SMD:LED_0805_2012Metric","~"
"D6","Q4","LED_SMD:LED_0805_2012Metric","~"
"D7","Q5","LED_SMD:LED_0805_2012Metric","~"
"D8","Q6","LED_SMD:LED_0805_2012Metric","~"
"D9","Q7","LED_SMD:LED_0805_2012Metric","~"
"D10","D0","LED_SMD:LED_0805_2012Metric","~"
"RN1","1K","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"D11","D1","LED_SMD:LED_0805_2012Metric","~"
"D12","D2","LED_SMD:LED_0805_2012Metric","~"
"D13","D3","LED_SMD:LED_0805_2012Metric","~"
"D14","D4","LED_SMD:LED_0805_2012Metric","~"
"D15","D5","LED_SMD:LED_0805_2012Metric","~"
"D16","D6","LED_SMD:LED_0805_2012Metric","~"
"D17","D7","LED_SMD:LED_0805_2012Metric","~"
"R1","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R2","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R3","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R4","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R5","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R6","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R7","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R8","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"J3","E/S","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","~"
"U1","GAL16V8","Package_DIP:DIP-20_W7.62mm_LongPads",""
"SW1","3FA/3FB","Button_Switch_THT:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile","~"
"R9","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"RN2","1K","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
