Reference, Value, Footprint, Datasheet
"C1","47µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"U3","74LS30","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS30"
"C3","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"C2","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"J1","SLOT1","Connector_IDC:IDC-Header_2x17_P2.54mm_Horizontal","~"
"U2","74LS04","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS04"
"D1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"U1","65C51","Package_DIP:DIP-28_W15.24mm_LongPads","http://www.6502.org/documents/datasheets/mos/mos_6551_acia.pdf"
"C5","100nF","Capacitor_SMD:C_0805_2012Metric","~"
"C8","22pF","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"Y1","1.8432MHz","Crystal:Crystal_HC49-U_Horizontal","~"
"R1","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U4","CH340G","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.datasheet5.com/pdf-local-2195953"
"J2","USB_B","Connector_USB:USB_B_Lumberg_2411_02_Horizontal"," ~"
"Y2","12MHz","Crystal:Crystal_HC49-U_Vertical","~"
"C4","22pF","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"C6","22pF","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"C7","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
