Reference, Value, Footprint, Datasheet
"C1","47µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C4","47nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"R1","10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U3","74LS30","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS30"
"C2","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"J1","SLOT1","Connector_IDC:IDC-Header_2x17_P2.54mm_Horizontal","~"
"U2","74LS04","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS04"
"D1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"U4","ADC0809","Package_DIP:DIP-28_W15.24mm_LongPads",""
"U1","74LS32","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS32"
"R2","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C5","1nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"R3","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C6","1nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"R4","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C7","1nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"R5","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C8","1nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"R6","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C9","1nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"R7","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C10","1nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"R8","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C11","1nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"R9","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C12","1nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"J2","E/S","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","~"
"R10","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C13","330pF","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"JP1","Addr","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
