Reference, Quantity, Value, Footprint, Datasheet
BT1 ,1,"CR1220","Battery:BatteryHolder_BC501SM","~"
C1 ,1,"47µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
C2 ,1,"100nF","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C3 C6 ,2,"22pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
C5 ,1,"50pF","Capacitor_THT:Trimmer_Cap_TZ03F","~"
D1 ,1,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
J1 ,1,"SLOT1","Connector_IDC:IDC-Header_2x17_P2.54mm_Horizontal","~"
JP1 ,1,"IRQ_RTC","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
R1 ,1,"2.2k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
RN1 ,1,"10K","Resistor_THT:R_Array_SIP5","http://www.vishay.com/docs/31509/csc.pdf"
RN2 ,1,"22k","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
U1 ,1,"ICM7170","Package_DIP:DIP-24_W15.24mm_LongPads",""
U2 ,1,"GAL16V8","Package_DIP:DIP-20_W7.62mm_LongPads",""
Y1 ,1,"32.768kHz","Crystal:Crystal_AT310_D3.0mm_L10.0mm_Horizontal_1EP_style2","~"
